Average Temp 2019-2022 Al New York Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,,,,,,,
New York,19.4,24.2,29.5,44.5,54.2,62.9,71,66.6,60.3,50.2,32.8,27.3,27.7,26.6,37.2,41.1,54.2,65.2,75.7,68.6,59.6,49,41.9,29.8,24,21.7,35,45.7,54.7,67.1,67.7,70.5,61.7,54.8,37,32.8,15.8,23.8,33.8,43.8,58.6,63.8,69.7,70,60.5,49,41,29,,,,,,,
Albany County,21.7,26.2,32.2,47.5,56.6,64.8,72.3,68.7,61.1,51.8,35,28,29.8,30.1,39.8,43.7,56.8,67.3,72.9,69.9,60.9,51.2,42.2,31.3,25.4,24,36.2,48,56.6,68.2,69.6,71.3,63.3,55.8,38.2,35.4,19,26.3,35.5,46.2,60.4,65.3,72.1,72.8,61.9,50.6,42.8,30.7,,,,,,,
Allegany County,20.6,26.1,30,45,56,62.6,70.4,66.3,61.4,50.7,33.4,28.9,28.4,27.4,38.6,41.1,53.6,64.9,74.3,68.3,59.4,48.9,42.6,29.3,26,22,36.8,46.1,54.3,66.8,67.9,70.2,61.8,55.8,37.1,34,16.9,24.2,34.7,44.4,58,64.6,68.8,68.9,60.8,47.9,40.6,28.3,,,,,,,
Bronx County,32.2,35.4,40.3,53.8,61.4,71.5,79.8,75.7,70,59.6,43,37.8,38.7,39.5,47,49.4,59.6,73.4,71.9,77.2,68.6,58,51.7,38.8,34.7,33.2,44.4,53.2,61.6,73.6,76.2,77.4,70.4,62.6,46,43.1,30,36,43.9,51.5,63.6,71,79.5,79.2,69.3,56.6,49.9,37.4,,,,,,,
Broome County,21.1,26.3,30.7,46.2,55.6,63,71.2,66.5,60.9,50.7,33.4,28,28.8,28.5,38.3,40.8,54,64.9,80.6,68.9,60.1,49.9,42.5,30,25,23.5,35.7,45.1,54.8,67,68.2,70,61.6,55.1,36.6,34.2,17.7,25.3,34.9,43.4,58.9,63.4,70,70.2,60.2,48.9,41.3,28.7,,,,,,,
Cattaraugus County,20.5,25.6,29.7,45.1,55.8,62.3,69.9,65.9,61.6,50.9,33.4,30.1,28.4,27.7,39.5,41.3,53.7,64.7,73,67.5,58.9,48.9,42.6,29.9,26.2,22.1,36.8,45.7,53.9,66.5,67.8,70.2,61.7,56.4,37.3,34.8,17.8,24.5,34.9,44.2,58.1,64.2,68.3,67.8,60.7,47.4,40.6,28.4,,,,,,,
Cayuga County,20.9,25.8,30.6,44.6,54.4,63.2,71.3,66.9,61.3,50.8,34.2,28.6,29.2,27.4,38.4,41.1,54.9,66.4,71.6,70.2,60.8,50.4,43.8,31.2,26,22.9,36.9,45.8,55.4,68.2,68.1,71.3,62.8,56.4,38.9,35.3,18.1,25.4,35.3,44.5,59.1,64.5,70.4,70.4,61,50,42.7,29.9,,,,,,,
Chautauqua County,22.1,26.4,30.4,45.6,57,63.8,71.3,67.9,63.8,52.4,35.1,31.6,30.3,28.8,40.3,42.8,55.1,66.1,74,69,60.6,50.2,44,31.4,27.4,23.1,38.6,46.9,55.2,68.2,69.1,71.9,63.5,57.7,38.8,36.3,19.1,25.7,36.3,44.7,59.7,65.4,69.7,69.4,62,49,42,30.3,,,,,,,
Chemung County,22.1,27.3,31.6,46.5,56.8,64,71.9,67.7,62.3,51.4,34.7,28.5,30,29.2,39,41.7,54.7,65.4,73.1,70.4,60.4,50.6,42.3,30.6,27,23.4,37.3,46.2,55.3,67.8,69.1,71.1,62.7,56.4,37.6,34.5,17.7,25,36,45.4,58.8,64.8,70.2,70.3,61.8,48.8,41.4,28.8,,,,,,,
Chenango County,20.1,25.3,29.5,44.8,54.4,61.6,70,65.4,59.8,50,33,26.6,27.8,27,37,40.1,53.3,63.6,73.8,67.8,59.2,49,41.2,29.2,23.7,21.9,34,43.8,53.2,65,66.9,68.7,60.5,54.1,35.6,32.6,15.7,23.4,33.2,42.4,57.8,62.3,68.6,69.1,59.7,48.1,40.7,27.7,,,,,,,
Clinton County,14,17.7,26.6,40.9,51.3,62.3,71.2,65.8,58.1,48.2,29,23.8,22.7,21.3,33.9,39.2,53.9,64.6,71.9,66.5,57.2,47,39.5,27.4,19.2,16.7,32.4,45.1,55,67,65.8,70.3,60.2,51.7,34.9,27.1,8.5,18.6,30.6,42.3,58.3,62.9,68.4,68.2,58.4,49.1,39,28,,,,,,,
