year,name,total_ticks_collected,tick_population_density,ticks_tested,b_burgdorferi_percent,county_centroid,lyme_count,lyme_rate,abbrev,gnis_id,fips_code,swis,nysp_zone,pop1990,pop2000,pop2010,pop2020,dos_ll,dosll_date,nyc,calc_sq_mi,datemod,shape_leng,shape_area,geometry,jan_19,feb_19,mar_19,apr_19,may_19,jun_19,jul_19,aug_19,sep_19,oct_19,nov_19,dec_19,jan_20,feb_20,mar_20,apr_20,may_20,jun_20,jul_20,aug_20,sep_20,oct_20,nov_20,dec_20,jan_21,feb_21,mar_21,apr_21,may_21,jun_21,jul_21,aug_21,sep_21,oct_21,nov_21,dec_21,jan_22,feb_22,mar_22,apr_22,may_22,jun_22,jul_22,aug_22,sep_22,oct_22,nov_22,dec_22
2021,Albany,366,85.83,168,53.6,"(42.5882713, -73.9740136)",865,93,ALBA,974099,36001,10000,East,292594,294565,304204,314848,NA,NA,N,532.79178,11/10/17,166077.83,1379924372,MULTIPOLYGON (((605729 4737...,21.7,26.2,32.2,47.5,56.6,64.8,72.3,68.7,61.1,51.8,35,28,29.8,30.1,39.8,43.7,56.8,67.3,72.9,69.9,60.9,51.2,42.2,31.3,25.4,24,36.2,48,56.6,68.2,69.6,71.3,63.3,55.8,38.2,35.4,19,26.3,35.5,46.2,60.4,65.3,72.1,72.8,61.9,50.6,42.8,30.7
2021,Chautauqua,199,36.7,107,56.1,"(42.3042159, -79.4075949)",52,13.6,CHAU,974105,36013,60000,West,141895,139750,134905,127657,NA,NA,N,1507.79455,4/26/19,247508.47,3905169964,MULTIPOLYGON (((161319.8 47...,22.1,26.4,30.4,45.6,57,63.8,71.3,67.9,63.8,52.4,35.1,31.6,30.3,28.8,40.3,42.8,55.1,66.1,74,69,60.6,50.2,44,31.4,27.4,23.1,38.6,46.9,55.2,68.2,69.1,71.9,63.5,57.7,38.8,36.3,19.1,25.7,36.3,44.7,59.7,65.4,69.7,69.4,62,49,42,30.3
2021,Dutchess,438,66.8,51,47.1,"(41.7550085, -73.7399512)",1045,118,DUTC,974112,36027,130000,East,259462,280150,297488,295911,NA,NA,N,824.43935,11/8/18,220942.56,2135288103,MULTIPOLYGON (((590247.8 46...,25.5,29.3,35.5,50.1,58.4,67.1,75.5,71,63.7,53.8,36.5,30.7,31.9,33.2,41.9,45.2,57.6,69.6,70.4,73.1,63.4,53.2,45.1,32.8,27.7,26.6,39.7,50,58.3,70.8,72,74.1,65.2,57.7,39.7,36.7,22.6,29.7,39.3,48.1,62,67.2,75.5,75.9,64.2,52.2,43.7,32.1
2021,Warren,88,13.85,87,41.4,"(43.5551053, -73.8381388)",295,151.8,WARR,974154,36113,520000,East,59209,63303,65707,65737,NA,NA,N,930.66894,12/3/18,264775.52,2410421491,MULTIPOLYGON (((625724 4850...,16.8,20.7,27.3,42.1,52.5,61.6,69.7,64.8,57.4,47.7,30.7,24,24.5,23,33.7,40.2,53,63.2,74,66.3,57,46.6,38.1,27.5,21.1,19.6,31.3,44.3,53.9,65.4,65.6,68.6,59.8,52.1,34.5,29,12.9,20.6,30.2,42,57.1,62,67.9,68.8,58.3,47.3,39,26.9
2021,Ontario,85,82.3,84,64.3,"(42.8566949, -77.3032768)",84,25.3,ONTA,974133,36069,320000,Central,95101,100224,107931,112458,NA,NA,N,662.4789,2/8/18,216680.25,1715812473,MULTIPOLYGON (((319443.6 47...,21.8,26.6,31.1,45,55.1,63.7,71.8,67.7,62.1,51.2,34.6,30,30,27.8,39.2,41.3,55.1,66.9,74.4,69.9,60.9,50.2,44.8,31.4,27.2,22.8,37.8,46.5,55.9,69.2,68.7,71.9,63.3,56.3,39.4,35.5,18.5,25.5,36,45.1,59.4,66,70.8,70.6,61.8,50,42.7,30.3
2021,Steuben,563,127.35,100,66,"(42.2667252, -77.3855253)",181,63.5,STEU,974148,36101,460000,Central,99088,98726,98990,93584,NA,NA,N,1404.07792,4/26/19,259450.27,3636545126,MULTIPOLYGON (((283514.2 47...,21.5,26.6,30.5,45.5,55.7,62.8,70.6,66.4,61.4,50.7,33.9,28.4,29.2,27.6,38.4,40.9,53.9,65.1,74.7,69.1,59.7,49.4,42.8,29.6,26.4,22.4,36.9,45.9,54.7,67,67.9,70.3,61.9,55.6,37.5,34.2,17.3,24.3,35.2,44.5,58.2,64.5,69.2,69.4,60.8,48.3,41.1,28.7
2021,Orange,118,37.3,50,42,"(41.4024096, -74.3062522)",878,75.1,ORAN,974134,36071,330000,East,307647,341367,372813,401310,NA,NA,N,837.1506,5/15/20,224866.68,2168210100,MULTIPOLYGON (((561216.3 46...,25.9,29.4,35,50.1,58.7,66.8,74.9,70.8,64.3,54,36.8,30.9,32,33.4,41.6,44.8,57.2,68.6,74.1,72.4,63.2,53,44.7,32.8,28.3,26.2,39.1,49.6,57.8,69.5,72,73.4,65.2,58,40,36.9,22.9,29.4,38.6,47.4,61,66,74.4,75.1,64,51.2,43.3,31.2
2021,Genesee,16,15.7,16,43.8,"(43.0009096, -78.1927784)",30,17.3,GENE,974117,36037,180000,West,60060,60370,60079,58388,NA,NA,N,496.05705,2/12/18,155397.08,1284781856,MULTIPOLYGON (((223125.6 47...,20.6,25,30.3,44.6,54.5,64,72,68,62.6,51.6,33.7,30.4,29.5,26.8,39.2,41.3,54.8,66.8,71.8,69.6,61.2,49.9,44.8,31.3,26.8,21.5,37.9,46.6,55.4,69.3,68.7,72.1,63.3,56.3,39.2,35.3,18.2,24.9,35.9,44.6,59.4,66.4,70.8,70.1,61.8,49.9,42.3,30.2
2021,Monroe,295,89.67,177,55.9,"(43.174966, -77.639663)",241,10.7,MONR,974126,36055,260000,West,713968,735343,744344,759443,NA,NA,N,1382.59447,12/22/17,268311.09,3580903230,MULTIPOLYGON (((306943.2 47...,22.5,26.9,31.8,45.2,54.9,64.5,72.8,69,63.1,52.2,34.9,31.1,30.6,28.2,39.8,42.1,55.1,67.7,72.4,70.7,62.1,51,46.1,33,27.9,22.9,38.5,47,56.2,70.1,69.4,73.3,64.2,57.1,40.6,36.7,19.3,26.2,36.9,45.6,60,67,71.8,71.8,62.8,50.8,43.4,31.7
2021,Rensselaer,694,77.71,187,61,"(42.7104206, -73.5138454)",1222,254.8,RENS,974140,36083,380000,East,154429,152538,159429,161130,NA,NA,N,665.08835,11/10/17,177749.49,1722570914,MULTIPOLYGON (((628303.4 47...,21.7,25.8,32.3,47,56.2,64.9,72.5,68.3,60.8,51.7,34.5,27.9,29.6,28.9,39.1,43.5,56.7,67.1,80.1,69.6,60.9,51.2,42.6,30.8,24.6,24,36.2,47.6,56.7,68.6,69.6,71.6,63.1,55.4,37.6,34.8,19,26.5,35.6,46,60.6,65.3,72.1,72.4,61.6,51,42.5,30.2
